City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,Souillac,-20.5167,57.5167,77.38,100,75,17.27,MU,2022-04-17 04:44:15
250,Rio Pardo De Minas,-15.6097,-42.5397,66.04,94,100,5.7,BR,2022-04-17 04:44:15
251,Goryachiy Klyuch,44.6308,39.13,46.02,63,98,1.23,RU,2022-04-17 04:44:15
252,Lesozavodsk,45.4794,133.4244,53.38,20,97,17.13,RU,2022-04-17 04:44:15
253,Alice Springs,-23.7,133.8833,96.35,14,9,13.8,AU,2022-04-17 04:44:13
254,Gushikawa,26.3544,127.8686,72.99,51,100,9.22,JP,2022-04-17 04:44:16
255,Flinders,-34.5833,150.8552,77.18,63,1,5.01,AU,2022-04-17 04:44:16
256,Asyut,27.181,31.1837,82.56,14,1,7.96,EG,2022-04-17 04:44:16
257,Sao Joao Da Barra,-21.6403,-41.0511,67.33,84,27,10.11,BR,2022-04-17 04:44:17
258,Vila Velha,-20.3297,-40.2925,71.94,76,0,5.01,BR,2022-04-17 04:44:17
259,Udachnyy,66.4167,112.4,30.45,92,100,21.5,RU,2022-04-17 04:44:17
260,Tiksi,71.6872,128.8694,8.46,90,22,6.69,RU,2022-04-17 04:44:18
261,Farafangana,-22.8167,47.8333,76.69,79,1,2.42,MG,2022-04-17 04:44:18
262,Vao,-22.6667,167.4833,77.65,67,0,6.42,NC,2022-04-17 04:44:18
263,Cacule,-14.5033,-42.2222,69.76,85,100,5.59,BR,2022-04-17 04:44:18
264,Dezful,32.3811,48.4058,75.97,15,3,7.65,IR,2022-04-17 04:44:19
265,Wanning,18.8003,110.3967,83.17,67,55,8.93,CN,2022-04-17 04:44:19
266,Mehamn,71.0357,27.8492,37.26,92,100,25.19,NO,2022-04-17 04:44:19
267,Lingao,19.9103,109.6859,81.07,71,99,10.6,CN,2022-04-17 04:44:20
268,Arklow,52.7931,-6.1414,51.08,96,100,7.99,IE,2022-04-17 04:45:20
269,Hualmay,-11.0964,-77.6139,65.91,87,100,7.87,PE,2022-04-17 04:45:20
270,Mitsamiouli,-11.3847,43.2844,79.09,83,20,6.91,KM,2022-04-17 04:45:21
271,Nome,64.5011,-165.4064,34.11,69,100,17.27,US,2022-04-17 04:41:38
272,Kovdor,67.5662,30.4758,35.64,97,100,9.15,RU,2022-04-17 04:45:21
273,Narsaq,60.9167,-46.05,32.22,85,10,1.52,GL,2022-04-17 04:45:21
274,Matara,5.9485,80.5353,86.67,65,78,7.09,LK,2022-04-17 04:45:22
275,Manokwari,-0.8667,134.0833,83.97,71,35,5.79,ID,2022-04-17 04:45:22
276,Kulhudhuffushi,6.6221,73.07,83.73,71,65,5.3,MV,2022-04-17 04:45:22
277,Makinsk,52.6292,70.4169,52.83,53,99,9.31,KZ,2022-04-17 04:45:22
278,Biak,-0.9131,122.8766,76.46,90,97,5.03,ID,2022-04-17 04:45:23
279,Mount Isa,-20.7333,139.5,92.97,16,4,9.22,AU,2022-04-17 04:45:23
280,Fortuna,40.5982,-124.1573,45.66,88,0,0.0,US,2022-04-17 04:45:23
281,Yizheng,24.6706,103.4296,74.52,36,29,11.61,CN,2022-04-17 04:45:24
282,Troyes,48.3333,4.0833,41.05,60,0,3.44,FR,2022-04-17 04:45:24
283,Kalengwa,-13.4659,25.0027,63.01,97,85,2.19,ZM,2022-04-17 04:45:24
284,Victoria,22.2855,114.1577,76.96,68,99,13.0,HK,2022-04-17 04:45:25
285,Faya,18.3851,42.4509,64.51,30,0,2.68,SA,2022-04-17 04:45:25
286,Riyadh,24.6877,46.7219,73.54,14,1,11.63,SA,2022-04-17 04:40:46
287,Moron,-34.6534,-58.6198,65.95,86,90,5.1,AR,2022-04-17 04:45:25
288,Kavaratti,10.5669,72.642,84.31,73,52,7.05,IN,2022-04-17 04:45:26
289,Saint George,37.1041,-113.5841,67.24,26,0,5.75,US,2022-04-17 04:45:26
290,Sola,-13.8833,167.55,82.8,69,81,4.41,VU,2022-04-17 04:45:26
291,San Jose,37.3394,-121.895,53.8,71,20,10.36,US,2022-04-17 04:42:17
292,Honiara,-9.4333,159.95,83.3,75,98,3.38,SB,2022-04-17 04:45:27
293,Padang,-0.9492,100.3543,89.65,66,28,6.96,ID,2022-04-17 04:45:27
294,Uruzgan,32.8333,66.0,74.61,19,5,3.36,AF,2022-04-17 04:45:27
295,Saint Anthony,45.0205,-93.218,32.95,55,0,6.91,US,2022-04-17 04:45:28
296,Sitka,57.0531,-135.33,44.49,57,75,8.05,US,2022-04-17 04:42:08
297,Bambous Virieux,-20.3428,57.7575,81.21,100,75,17.27,MU,2022-04-17 04:45:28
298,Igarka,67.4667,86.5833,21.31,87,100,19.62,RU,2022-04-17 04:45:28
299,Kidal,18.4411,1.4078,73.58,21,100,14.18,ML,2022-04-17 04:45:29
300,Tasiilaq,65.6145,-37.6368,35.76,99,100,5.19,GL,2022-04-17 04:45:29
301,Lampang,18.3333,99.5,100.85,38,3,0.0,TH,2022-04-17 04:45:29
